id_candidat;annee_election;nom_annee_election;code_departement;code_circonscription;sortant;dissident;resultat_election
1;2022;DIV;75;075-15;0;0;
2;2022;RN;75;075-15;0;0;
3;2022;EXG;75;075-15;0;0;
4;2022;LR;75;075-15;0;0;
5;2022;SOC;75;075-15;1;1;
6;2022;REM;75;075-15;0;0;
7;2022;REC;75;075-15;0;0;
8;2022;FI;75;075-15;0;0;
9;2022;ECO;75;075-15;0;0;
10;2017;FN;75;075-15;0;0;0
11;2017;DIV;75;075-15;0;0;0
12;2017;DVD;75;075-15;0;0;0
13;2017;DVD;75;075-15;0;0;0
14;2017;ECO;75;075-15;0;0;0
15;2017;DVG;75;075-15;0;0;0
16;2017;FI;75;075-15;0;0;0
17;2017;EXG;75;075-15;0;0;0
18;2017;DIV;75;075-15;0;0;0
19;2017;DIV;75;075-15;0;0;0
20;2017;LR;75;075-15;0;0;0
21;2017;ECO;75;075-15;0;0;0
22;2017;SOC;75;075-15;1;0;1
23;2017;ECO;75;075-15;0;0;0
24;2017;DVD;75;075-15;0;0;0
25;2017;RDG;75;075-15;0;0;0
3;2017;EXG;75;075-15;0;0;0
27;2017;DLF;75;075-15;0;0;0
28;2017;COM;75;075-15;0;0;0
29;2017;DIV;75;075-15;0;0;0
30;2017;DIV;75;075-15;0;0;0
31;2012;AUT;75;075-15;0;0;0
32;2012;EXG;75;075-15;0;0;0
33;2012;DVD;75;075-15;0;0;0
34;2012;AUT;75;075-15;0;0;0
35;2012;AUT;75;075-15;0;0;0
22;2012;SOC;75;075-15;0;0;1
36;2012;VEC;75;075-15;0;0;0
37;2012;CEN;75;075-15;0;0;0
38;2012;PRV;75;075-15;0;0;0
39;2012;UMP;75;075-15;1;0;0
40;2012;EXG;75;075-15;0;0;0
41;2012;FN;75;075-15;0;0;0
42;2012;FG;75;075-15;0;0;0
43;2012;AUT;75;075-15;0;0;0
44;2012;DVD;75;075-15;0;0;0
