id_candidat;prenom;nom;sexe;date_naissance;id_twitter;compte_verifie;date_creation_compte;annee_election;date_premier_tour;nom_annee_election;nom_derniere_election;sortant;dissident;parti_vainqueur_presidentielles;resultat_election;nb_tweets_elec_period;nb_tweets_reserve_period;nb_tweets_last_week;nb_tweets_1st_concern;nb_tweets_2nd_concern;nb_tweets_3rd_concern;sum_likes_elec_period;max_likes_elec_period;avg_likes_elec_period;sum_likes_reserve_period;max_likes_reserve_period;avg_likes_reserve_period;sum_likes_last_week;max_likes_last_week;avg_likes_last_week;sum_likes_1st_concern;max_likes_1st_concern;avg_likes_1st_concern;sum_likes_2nd_concern;max_likes_2nd_concern;avg_likes_2nd_concern;sum_likes_3rd_concern;max_likes_3rd_concern;avg_likes_3rd_concern;sum_retweets_elec_period;max_retweets_elec_period;avg_retweets_elec_period;sum_retweets_reserve_period;max_retweets_reserve_period;avg_retweets_reserve_period;sum_retweets_last_week;max_retweets_last_week;avg_retweets_last_week;sum_retweets_1st_concern;max_retweets_1st_concern;avg_retweets_1st_concern;sum_retweets_2nd_concern;max_retweets_2nd_concern;avg_retweets_2nd_concern;sum_retweets_3rd_concern;max_retweets_3rd_concern;avg_retweets_3rd_concern
1;Sandrine;Adobati;F;1974-03-30;;;;2022;2022-06-12;DIV;DIV;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
2;Marie-Josee;Boulaire;F;1959-01-26;1.1301699829171855e+18;False;2019-05-01;2022;2022-06-12;RN;RN;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
3;Arnaud;Charvillat;M;1977-10-28;;;;2022;2022-06-12;DXG;DXG;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
4;François-Marie;Didier;M;1980-10-03;1.2074019071296594e+18;False;2019-12-01;2022;2022-06-12;LR;LR;False;False;LREM;False;90;45;17;1;0;1;2526;291.0;28.0;1204;291.0;27.0;424;62.0;25.0;45;45.0;45.0;0;0.0;0.0;7;7.0;7.0;12063;8186.0;134.0;10312;8186.0;229.0;1583;963.0;93.0;27;27.0;27.0;0;0.0;0.0;0;0.0;0.0
5;Lamia;El Aaraje;F;1986-11-22;943672818.0;True;2012-11-01;2022;2022-06-12;NUPES;NUPES;True;True;LREM;False;641;274;115;1;4;0;20783;2175.0;32.0;7198;1803.0;26.0;1857;228.0;16.0;27;27.0;27.0;199;101.0;50.0;0;0.0;0.0;32810;6664.0;51.0;18595;6664.0;68.0;4240;1308.0;37.0;15;15.0;15.0;83;43.0;21.0;0;0.0;0.0
6;Mohamad-Lamine;Gassama;M;1980-01-01;376865423.0;False;2011-11-01;2022;2022-06-12;REM;ENS;False;False;LREM;False;497;151;65;13;3;2;12587;1665.0;25.0;4140;829.0;27.0;2154;829.0;33.0;436;120.0;34.0;74;70.0;25.0;61;61.0;31.0;99820;47557.0;201.0;56152;47557.0;372.0;5402;988.0;83.0;489;167.0;38.0;820;788.0;273.0;32;24.0;16.0
7;Philippe;Houplain;M;1961-07-16;3255832605.0;False;2015-05-01;2022;2022-06-12;REC;REC;False;False;LREM;False;2051;1597;579;6;9;1;10713;1423.0;5.0;8605;1423.0;5.0;4552;1423.0;8.0;0;0.0;0.0;13;8.0;1.0;0;0.0;0.0;784151;16718.0;382.0;604130;16718.0;378.0;224709;5328.0;388.0;6081;3062.0;1014.0;5954;5328.0;662.0;52;52.0;52.0
8;Danielle;Simonnet;F;1971-07-02;329686497.0;False;2011-07-01;2022;2022-06-12;NUPES;NUPES;False;False;LREM;True;734;354;113;7;6;2;77893;12766.0;106.0;25810;2327.0;73.0;7363;648.0;65.0;39;39.0;6.0;269;152.0;45.0;164;128.0;82.0;199448;33995.0;272.0;55411;5812.0;157.0;21411;5812.0;189.0;101;24.0;14.0;1932;1518.0;322.0;53;39.0;27.0
9;Apolline;Tyburczy;F;1987-10-12;1.4899959661324124e+18;False;2022-02-01;2022;2022-06-12;NUPES;NUPES;False;False;LREM;False;501;324;89;0;0;0;2773;293.0;6.0;1846;293.0;6.0;609;170.0;7.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;30710;3334.0;61.0;16230;3334.0;50.0;4788;550.0;54.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
10;Christophe;Versini;M;1995-08-10;1.0093686685795164e+18;False;2018-06-01;2017;2017-06-11;FN;RN;False;False;LREM;False;0;0;0;0;0;0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
11;Hélène;Testud;F;1956-10-04;29447272.0;False;2009-04-01;2017;2017-06-11;DIV;DIV;False;False;LREM;False;119;72;26;0;0;0;20;5.0;0.0;11;5.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;205180;193333.0;1724.0;204593;193333.0;2842.0;10358;9947.0;398.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
12;Adil;Touaimia-Kabbouch;M;1991-03-03;3417457690.0;False;2015-08-01;2017;2017-06-11;DVD;DVD;False;False;LREM;False;153;34;17;0;0;0;43;7.0;0.0;15;3.0;0.0;9;3.0;1.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;476;72.0;3.0;52;21.0;2.0;12;7.0;1.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0
